mem_mib,k,rep,call_idx,call_time_ms
64,30,3,23,72.408182
64,30,3,24,72.284031
64,30,3,25,71.271414
64,30,3,26,72.448499
64,30,3,27,71.173544
64,30,3,28,72.539101
64,30,3,29,73.212045
64,30,3,30,72.617255
64,30,4,1,70.615833
64,30,4,2,73.773539
64,30,4,3,71.541416
64,30,4,4,72.539549
64,30,4,5,71.741903
64,30,4,6,71.017172
64,30,4,7,72.629983
64,30,4,8,73.131119
64,30,4,9,71.312717
64,30,4,10,72.599415
64,30,4,11,71.632811
64,30,4,12,72.628655
64,30,4,13,70.971131
64,30,4,14,72.797325
64,30,4,15,73.107027
64,30,4,16,70.981733
64,30,4,17,70.979071
64,30,4,18,72.714666
64,30,4,19,71.592231
64,30,4,20,70.949425
64,30,4,21,70.084067
64,30,4,22,72.498093
64,30,4,23,71.692842
64,30,4,24,71.532152
64,30,4,25,72.369172
64,30,4,26,70.828317
