k,rep,call_idx,call_time_ms
30,2,26,1220.225273
30,2,27,1218.249379
30,2,28,1209.682497
30,2,29,1224.079939
30,2,30,1203.401523
30,3,1,1259.246080
30,3,2,1206.435792
30,3,3,1209.809543
30,3,4,1226.008681
30,3,5,1204.470411
30,3,6,1214.619231
30,3,7,1206.660617
30,3,8,1213.569871
30,3,9,1222.481797
30,3,10,1254.696808
30,3,11,1209.827091
30,3,12,1205.499596
30,3,13,1205.072549
30,3,14,1205.658870
30,3,15,1377.122728
30,3,16,1205.966313
30,3,17,1204.938499
30,3,18,1211.006738
30,3,19,1204.061940
30,3,20,1207.083718
30,3,21,1203.810759
30,3,22,1211.937705
30,3,23,1209.356696
30,3,24,1208.708987
30,3,25,1208.065185
30,3,26,1206.025456
30,3,27,1203.985288
30,3,28,1211.594498
30,3,29,1395.358488
30,3,30,1205.357527
30,4,1,1235.397378
30,4,2,1218.206154
30,4,3,1391.978218
30,4,4,1204.215485
30,4,5,1386.814738
30,4,6,1220.711299
30,4,7,1214.770994
30,4,8,1314.036725
30,4,9,1380.052877
30,4,10,1207.553712
30,4,11,1383.918686
30,4,12,1220.499259
30,4,13,1384.068589
30,4,14,1216.387446
30,4,15,1210.919931
30,4,16,1208.481137
30,4,17,1208.963893
30,4,18,1213.752785
30,4,19,1215.690340
30,4,20,1382.513357
30,4,21,1207.890407
30,4,22,1389.640656
30,4,23,1384.523663
30,4,24,1204.547588
30,4,25,1205.482534
30,4,26,1210.043743
30,4,27,1212.313171
30,4,28,1381.593182
30,4,29,1205.548995
30,4,30,1209.338451
30,5,1,1218.500830
30,5,2,1203.736205
30,5,3,1261.500707
30,5,4,1214.369880
30,5,5,1208.261060
30,5,6,1202.874144
30,5,7,1209.125668
30,5,8,1203.151422
30,5,9,1385.804598
30,5,10,1213.103485
30,5,11,1211.028483
30,5,12,1216.269011
30,5,13,1208.700690
30,5,14,1204.557033
30,5,15,1204.130236
30,5,16,1204.736304
30,5,17,1208.552292
30,5,18,1385.545031
30,5,19,1218.576017
30,5,20,1216.260491
30,5,21,1208.882399
30,5,22,1393.112505
30,5,23,1202.670985
30,5,24,1209.885791
30,5,25,1218.633542
30,5,26,1209.644893
30,5,27,1383.725711
30,5,28,1212.325269
30,5,29,1206.781925
30,5,30,1383.874454
30,6,1,1208.147693
30,6,2,1384.490178
30,6,3,1221.062543
30,6,4,1211.163428
30,6,5,1217.927144
30,6,6,1384.991828
30,6,7,1220.218115
30,6,8,1386.058644
30,6,9,1202.932837
30,6,10,1204.630822
30,6,11,1233.926173
30,6,12,1386.446346
30,6,13,1381.621017
30,6,14,1205.315594
30,6,15,1385.784014
30,6,16,1206.952877
30,6,17,1205.648351
30,6,18,1379.934066
30,6,19,1217.790655
30,6,20,1217.854643
30,6,21,1207.094210
30,6,22,1211.732544
30,6,23,1211.418470
30,6,24,1210.743806
30,6,25,1384.640560
30,6,26,1218.711412
30,6,27,1385.432218
30,6,28,1212.782034
30,6,29,1383.563620
30,6,30,1204.307201
30,7,1,1214.015759
30,7,2,1211.914143
30,7,3,1211.394022
30,7,4,1382.851803
30,7,5,1210.469477
30,7,6,1211.877825
30,7,7,1212.286267
30,7,8,1204.651482
30,7,9,1404.267151
30,7,10,1221.556650
30,7,11,1205.970837
30,7,12,1210.166124
30,7,13,1214.977605
30,7,14,1218.191229
30,7,15,1210.307425
30,7,16,1207.119609
30,7,17,1216.931360
30,7,18,1216.648961
30,7,19,1384.116405
30,7,20,1386.744346
30,7,21,1386.610189
30,7,22,1218.746215
30,7,23,1384.519566
30,7,24,1216.908405
